ExperimentName,RunID,BlockID,BlockType,NumTransactions,BlockCreationTime,PrevBlockHash
total_simulation,8,bb6de69b2839798d12f11f1bce381d98fced9cad537aa4ac7e9f0eb4e4438775,Macro,100000,0.0261941,a5823e9775c7c5c6fe1ce28a3415fb8ac04489daca0f5e0b527d8c728e915c6f
total_simulation,9,2becc67a3c2393268bf39e061650b57e12d963775c7f95c8c8e297ad8b550405,Macro,200000,0.0490884,c2d6d4a8a8b40181e19d8dae848bf587bcd0790d986d525fbf64319e50137077
total_simulation,10,06d73141600f5c69e2c71a885a1e6758087512d3e5ba1c9ee30573df0a2b5c4a,Macro,500000,0.126207,5b379855f6db00721c38f0623c75392cc57cceed5dc3aa72dc226149001a8f03
total_simulation,11,4bc4f9d8ec1c8d9dd5c63a730d30f59fd73ff978ebc726cbd84a66efc5ba9fa9,Macro,10000,0.0031413,fd14783eb7e6b830f66cc337b4541d28d39244e12f8c3f10cee1957da17f0403
total_simulation,12,b2c403fe8ad135539a40e24e17930b39a5b4b83f10a87f66e08fbd222bfc3261,Macro,50000,0.0152453,e8029a3707655ad2086254b753746b85b1d8ea23acf670b8c85356984bdf43b7
total_simulation,13,c6240c702075ad2cd42e7136ba0750b4c752ec47ac44a40535d3426449a0cd9c,Macro,100000,0.0291656,cdc036b1fd4b058d2f8e60ac0bfcc64e8ec2bc118bb0b7360e55867994544709
total_simulation,14,90d3aabd80b01ceda6d599485aec4631fe05a3078f04a08d7999489c898f4a6c,Macro,200000,0.0598981,38a49d7f01cbdb64c6b11f9086594693049b400d69968692ab7c60cd8930ebdb
total_simulation,15,7f0e1d741d3fc1f3e93ea91a5a7b8c775af2d164d6fd2aab3c5a59a92240c094,Macro,500000,0.148767,c53178c082936aabb0d457611b8e98022c2ffa700f178b7a5cd73ccf8e0c6667
total_simulation,16,6e8f9a10ea74f444c14968b654169e13e878b8076cc79962f5427ff4fb132d02,Macro,10000,0.00319207,122f9a3abbe23120b019335d771e383aeeac8c20610beeb728da529d34d556bc
total_simulation,17,9a46d55f9b0b843fe0be026036dd9a384a81f5375433f2f1fcd42ebc8b30f609,Macro,50000,0.012364,fcf2c174e68eaedb2d4967661c7ce2f5308071e3c64c1c7b60d4cee7f65bdb88
total_simulation,18,b5950e30e01d3a00a1182fb3c73d095af294e27274f4d5ef8b449ea9cfde9417,Macro,100000,0.026715,ffb49f22880af103bba17ec8f6eeca627983bf2cfffe78dada67a4cedae6569e
total_simulation,19,a016df4f8f13b762fb8ef631dcdcfc477ecf566f1f436b046ad5b5b7a47f2a2a,Macro,200000,0.049123,0eb566ccd28f831351e394b58f301002f442ff8f253d71c9d703bf113a1da2a0
total_simulation,20,d026f27f5b907772d92ca1e6f9a4e5ac7f8ecfbde98a5e5b18137fcb4ac1c094,Macro,500000,0.12531,6fea929d34cc299e884230c5a5aa764245cb8e53562e8f52f14e8206a8adb297
total_simulation,21,74b7d7713b5538bd9875e52d5358d078b4ba182fc74e08067a7e49d1a0987738,Macro,10000,0.00323753,bd60178e706f2acf1add703b03792516d3e9bb4a9b4a103ed980ad6c61e51d2c
total_simulation,22,2456c3f2680d1629028f537589fb2862e1a722b6e0d964d5516198008d39010d,Macro,50000,0.0149676,4b460587581f214cbb1392126215d3f386541b77e5e9297f8cb38e246a9da4c0
total_simulation,23,9bdf8dfee6db6c883c8f4477bf12311caa5c079356552b5fed9a30029fbbb9f2,Macro,100000,0.0288857,3cf7fde52fb3e6eaea37d32e07f4dbdb696ac2e5990b3a4744ce660e781176ed
total_simulation,24,d2b45c0dfb94863ee1e94c4dcaa5ddfa4b340e5c230674551f807ee3d53619f1,Macro,200000,0.0567101,e265ef07c562955cee179e0770ffbf2dcd944f00b0db171eb4f7eea81b0dae9b
total_simulation,25,5fdaf710dc4253a062369f14e7e2336382a0020a3f9305a257bfab698ce8af62,Macro,500000,0.167322,26a611b834e6e2a0cbfc26f7a48e435ab3192ba293df860485439ab947c7a8f6
total_simulation,26,d674b2ef62a270d3db9623a2fb2b2c9593bf090546e77006a55a5157cf488d1c,Macro,10000,0.00302751,d2485f623a64a59d0056934c866ac352a0b502ddca8a637bbcf19dda232db9bf
total_simulation,27,2c9fb51aff885a003e7e9da905f6ee4306fe35b79da3378e85eb4288e1d11419,Macro,50000,0.0151253,aee7be5b43e6517b1da49467183dd1180206a482cd42ad886e1dbe6ebbed2799
total_simulation,28,b77f974bf632cc97e64f233610af0a8b2a6f54b2893fce89400c4e7638866189,Macro,100000,0.0304162,4809e7298397dc269a7c2b0015ed6529b7eb799e5f3af6b8280e0765bd2cc60d
total_simulation,29,c0ba5d24ee2c263302bb334ddb5c795a1fc4e097821e464de5632bfd1dcdf4c4,Macro,200000,0.0584959,ee360b7db1a2956da5da5f8812f836c7c68b2ece4af0eb66ec8e6bb00b3f0bc3
total_simulation,30,6578ffea7d300837bf4c4fddf709e9dd489e749be80ebb751da18dd1d0464a30,Macro,500000,0.153205,287cfba609bcea182676220e4f0748e4200fd14dbc30f20a623c4a43599908fe
